,customer,gender,income,state,policy_type,customer_lifetime_value,vehicle_class,monthly_premium_auto,total_claim_amount
47,MF19231,M,28377.0,California,Personal Auto,7434.68,Four-Door Car,94.0,451.2
48,XS47087,M,21102.0,Oregon,Personal Auto,11714.78,SUV,100.0,480.0
49,SE76116,M,81410.0,California,Personal Auto,9567.71,SUV,119.0,221.19
50,GJ63103,F,27869.0,Oregon,Personal Auto,18474.71,Two-Door Car,67.0,482.4
51,PL78574,M,57449.0,Arizona,Personal Auto,12157.33,Four-Door Car,103.0,494.4
52,NV69875,M,40901.0,Oregon,Corporate Auto,2956.36,Four-Door Car,74.0,13.63
53,MC38650,M,88701.0,Nevada,Personal Auto,3963.39,Two-Door Car,99.0,171.83
54,No73819,F,29365.0,California,Personal Auto,10896.05,Sports Car,137.0,657.6
55,WQ54314,F,56455.0,Oregon,Personal Auto,5737.23,Four-Door Car,73.0,350.4
56,NM57315,M,35095.0,California,Special Auto,16979.8,Two-Door Car,73.0,525.6
57,EN77569,F,94903.0,Oregon,Special Auto,3808.12,Two-Door Car,94.0,451.2
58,YP47665,M,80192.0,Washington,Personal Auto,5408.91,Four-Door Car,67.0,95.19
59,EQ59908,M,60244.0,California,Corporate Auto,3238.0,Four-Door Car,83.0,326.28
60,YU72540,F,52735.0,Arizona,Personal Auto,10357.63,Four-Door Car,65.0,123.51
61,BZ50261,F,78275.0,Arizona,Personal Auto,11619.92,Two-Door Car,72.0,25.34
62,QE92747,F,77282.0,Oregon,Corporate Auto,8209.05,Four-Door Car,102.0,489.6
63,KG83280,F,21604.0,California,Personal Auto,3096.51,Four-Door Car,79.0,379.2
64,IL42365,F,51962.0,Arizona,Personal Auto,4804.36,Sports Car,125.0,788.21
65,FV14881,F,56362.0,California,Personal Auto,15886.03,Luxury SUV,197.0,945.6
66,RR54950,M,85753.0,Arizona,Special Auto,5285.08,Four-Door Car,66.0,316.8
67,FC70869,F,36167.0,Arizona,Personal Auto,2945.37,Two-Door Car,76.0,364.8
68,PB60303,F,68568.0,Oregon,Personal Auto,18089.8,Luxury Car,223.0,1070.4
69,HO50571,F,35482.0,California,Personal Auto,10208.93,SUV,129.0,619.2
70,BH86846,M,92079.0,Washington,Corporate Auto,20708.26,Four-Door Car,65.0,114.8
71,FZ73016,F,34558.0,California,Personal Auto,4513.44,SUV,113.0,376.53
72,HJ19927,M,14775.0,Nevada,Personal Auto,5297.63,Four-Door Car,69.0,170.94
73,RJ99408,M,35637.0,California,Personal Auto,5377.01,Four-Door Car,68.0,326.4
74,EL81968,M,66726.0,Oregon,Personal Auto,7661.39,Two-Door Car,97.0,335.84
75,PB60406,F,79719.0,California,Personal Auto,5714.23,Four-Door Car,71.0,425.92
76,IY37465,M,25632.0,Arizona,Corporate Auto,4929.55,Two-Door Car,63.0,351.27
77,LF55270,F,61108.0,Oregon,Personal Auto,10484.92,Four-Door Car,89.0,49.45
78,IS63925,F,21073.0,Arizona,Personal Auto,7805.31,SUV,106.0,508.8
79,CQ21583,M,17932.0,Oregon,Personal Auto,21274.34,Four-Door Car,79.0,379.2
80,PR21713,M,81082.0,Nevada,Personal Auto,5838.9,Four-Door Car,73.0,281.3
81,XE10977,F,71684.0,Oregon,Personal Auto,2677.5,Two-Door Car,66.0,196.07
82,JG87029,M,57338.0,Oregon,Personal Auto,2374.8,Two-Door Car,61.0,292.8
83,WE19034,M,24409.0,Oregon,Corporate Auto,2427.77,Four-Door Car,62.0,297.6
84,DF62718,F,83488.0,California,Personal Auto,7294.4,Four-Door Car,90.0,432.78
85,WC65050,F,62537.0,California,Personal Auto,2811.96,Two-Door Car,71.0,354.2
86,ST27958,M,10621.0,Washington,Personal Auto,4386.28,Four-Door Car,67.0,321.6
87,XZ81226,F,43478.0,Arizona,Personal Auto,6446.92,Four-Door Car,80.0,384.0
88,TU53781,F,46503.0,Oregon,Corporate Auto,8427.17,Luxury SUV,215.0,1032.0
89,GC93551,F,27179.0,Oregon,Personal Auto,5290.13,Four-Door Car,66.0,344.2
90,MO33279,F,62229.0,California,Personal Auto,5592.46,Two-Door Car,70.0,336.0
91,PW90662,M,67060.0,Oregon,Personal Auto,13623.62,SUV,126.0,339.0
92,WS53288,F,13663.0,Oregon,Personal Auto,25464.82,Four-Door Car,97.0,465.6
93,HR87252,F,97745.0,California,Personal Auto,9043.68,Sports Car,113.0,695.14
94,SB27146,F,26026.0,Oregon,Personal Auto,4369.04,Two-Door Car,116.0,283.67
95,KI58952,F,72794.0,California,Personal Auto,51337.91,SUV,164.0,50.45
96,RM21896,F,47730.0,Oregon,Personal Auto,28699.89,Four-Door Car,91.0,219.44
97,PO27978,F,97785.0,Oregon,Personal Auto,14727.51,Two-Door Car,73.0,236.61
98,TI19722,M,30817.0,Washington,Corporate Auto,3436.13,Four-Door Car,88.0,91.83
99,DO83038,F,64502.0,California,Personal Auto,8355.77,Two-Door Car,70.0,39.34
100,AG62087,M,30335.0,California,Corporate Auto,3412.57,Four-Door Car,87.0,326.13
101,BA56812,M,21020.0,Oregon,Corporate Auto,6185.34,Four-Door Car,80.0,178.37
102,QF74147,F,84574.0,California,Special Auto,8456.72,Four-Door Car,70.0,167.46
103,YF87007,F,11828.0,Oregon,Corporate Auto,10083.49,Four-Door Car,90.0,571.48
104,ZL18631,F,54889.0,Arizona,Personal Auto,2539.99,Four-Door Car,63.0,302.4
105,BZ71120,F,89918.0,Oregon,Personal Auto,8456.46,SUV,105.0,367.23
106,UP60200,M,87002.0,California,Personal Auto,26576.32,Two-Door Car,110.0,199.85
107,XZ64172,M,55687.0,Oregon,Corporate Auto,10963.96,Luxury SUV,276.0,1324.8
108,CA47176,M,17103.0,Oregon,Personal Auto,9671.98,Two-Door Car,87.0,417.6
109,XT10744,M,28441.0,Arizona,Special Auto,8595.15,Two-Door Car,73.0,686.02
110,HT48275,M,91212.0,Oregon,Personal Auto,5532.75,Two-Door Car,69.0,270.31
111,HB48073,F,66325.0,Arizona,Corporate Auto,9371.77,SUV,117.0,497.72
112,MD43085,F,67895.0,Oregon,Personal Auto,3975.32,Four-Door Car,101.0,403.94
113,NJ11986,F,29550.0,Arizona,Corporate Auto,4456.02,Two-Door Car,114.0,118.75
114,HH55884,M,10275.0,Arizona,Personal Auto,3495.89,Four-Door Car,97.0,465.6
115,JP69867,M,61725.0,Nevada,Personal Auto,8512.13,Four-Door Car,106.0,508.8
116,FT86104,M,28215.0,California,Corporate Auto,4650.06,Two-Door Car,65.0,468.0
117,GV39658,F,10563.0,Arizona,Corporate Auto,13523.13,SUV,121.0,109.81
118,VD51297,M,99722.0,California,Personal Auto,7320.99,Four-Door Car,61.0,292.8
119,EP29567,M,16224.0,Washington,Corporate Auto,7031.46,Four-Door Car,93.0,498.45
120,PE59368,F,72096.0,Washington,Personal Auto,5123.48,Two-Door Car,64.0,252.33
121,DQ50538,M,63800.0,Nevada,Personal Auto,9050.76,SUV,113.0,542.4
122,WP58340,M,55687.0,Arizona,Personal Auto,10963.96,Luxury SUV,276.0,1324.8
123,WB96917,M,29598.0,California,Personal Auto,9875.09,Two-Door Car,87.0,150.93
124,MN95006,M,22907.0,California,Personal Auto,6928.6,Luxury SUV,180.0,49.19
125,NP60037,M,22697.0,Oregon,Corporate Auto,14318.45,Luxury SUV,186.0,892.8
126,NQ71171,M,70174.0,California,Personal Auto,5107.07,Four-Door Car,64.0,128.9
127,SM58898,F,85378.0,California,Corporate Auto,17223.89,SUV,107.0,513.6
128,FN98595,F,31477.0,Nevada,Special Auto,7516.83,Four-Door Car,94.0,146.95
129,TW94555,M,66429.0,Nevada,Personal Auto,5389.5,Sports Car,136.0,57.71
130,JL41129,M,74217.0,California,Personal Auto,7986.19,SUV,100.0,418.01
131,OQ41280,M,46298.0,Nevada,Corporate Auto,6503.22,Four-Door Car,88.0,128.29
132,EE99484,F,43860.0,Washington,Corporate Auto,2514.59,Four-Door Car,65.0,156.12
133,DK49336,M,48029.0,Arizona,Corporate Auto,4809.22,Four-Door Car,61.0,292.8
134,HB43486,F,86830.0,Washington,Personal Auto,9696.55,SUV,123.0,480.53
135,BN83547,F,40706.0,Nevada,Personal Auto,2858.45,Four-Door Car,71.0,166.12
136,MC55901,F,69231.0,California,Personal Auto,5233.95,Four-Door Car,65.0,193.24
137,TH67541,F,16171.0,Arizona,Corporate Auto,5652.72,Four-Door Car,74.0,311.0
138,WC21901,M,51397.0,Arizona,Personal Auto,2345.26,Four-Door Car,61.0,292.8
139,CL38124,F,83879.0,Oregon,Personal Auto,19688.32,Four-Door Car,69.0,212.15
140,XH89851,F,63267.0,California,Personal Auto,7247.21,Four-Door Car,92.0,530.34
141,KA58700,M,44712.0,Nevada,Corporate Auto,6085.3,Four-Door Car,82.0,537.78
142,ZB40259,M,59311.0,California,Corporate Auto,5480.07,Four-Door Car,69.0,14.81
143,JV63229,M,81957.0,Arizona,Personal Auto,6876.31,Four-Door Car,86.0,433.43
144,SI31035,M,59601.0,Arizona,Personal Auto,5368.89,Four-Door Car,67.0,321.6
145,JW30054,M,71034.0,Oregon,Corporate Auto,8283.07,Four-Door Car,103.0,494.4
146,AP56340,M,13103.0,Washington,Personal Auto,5384.67,Four-Door Car,72.0,458.0
147,FN44127,M,20978.0,Oregon,Personal Auto,3508.57,Four-Door Car,98.0,1176.28
148,QE79527,F,46503.0,California,Personal Auto,8427.17,Luxury SUV,215.0,1032.0
149,UP36767,M,61064.0,California,Personal Auto,4553.81,SUV,113.0,539.77
150,PG43749,F,17572.0,Oregon,Personal Auto,4318.43,Two-Door Car,110.0,639.77
151,LL96228,M,99823.0,Oregon,Corporate Auto,14091.19,SUV,116.0,250.18
152,OV40993,F,17453.0,Nevada,Personal Auto,8693.63,SUV,118.0,566.4
153,MA80983,M,55663.0,Oregon,Personal Auto,6661.18,SUV,166.0,194.74
154,SA54664,M,73196.0,Washington,Personal Auto,2654.38,Four-Door Car,66.0,85.81
155,TW12556,F,58577.0,Oregon,Personal Auto,4428.03,SUV,110.0,303.87
156,TC88451,F,88055.0,Nevada,Personal Auto,5738.28,Four-Door Car,71.0,337.73
157,SI20178,M,80892.0,California,Personal Auto,4425.91,SUV,110.0,528.0
158,KC50464,F,34990.0,Arizona,Corporate Auto,2574.02,Four-Door Car,65.0,42.69
159,HG64216,M,37124.0,California,Personal Auto,2832.51,Two-Door Car,72.0,430.52
160,XM91056,F,22236.0,California,Personal Auto,4876.32,Two-Door Car,62.0,409.43
161,KN13494,F,97131.0,Washington,Personal Auto,5181.62,Four-Door Car,64.0,307.2
162,OC47565,F,67760.0,Oregon,Special Auto,5947.22,Four-Door Car,74.0,465.28
163,LY46898,M,37473.0,California,Corporate Auto,5558.3,Four-Door Car,70.0,336.0
164,MK73855,F,32314.0,Washington,Personal Auto,8109.36,Four-Door Car,68.0,326.4
165,HU82227,M,49214.0,Arizona,Corporate Auto,15638.58,Four-Door Car,102.0,371.32
166,FF75737,F,49851.0,Oregon,Personal Auto,8334.32,Four-Door Car,69.0,331.2
167,KJ50265,M,27951.0,Washington,Personal Auto,10418.31,Four-Door Car,91.0,436.8
168,SO47345,F,56410.0,Arizona,Personal Auto,9403.88,SUV,117.0,524.0
169,JN51592,F,22497.0,Arizona,Special Auto,16985.5,Luxury Car,212.0,1017.6
170,FH36069,F,61347.0,Arizona,Personal Auto,21101.21,SUV,106.0,604.24
171,ZW32080,F,37803.0,Nevada,Personal Auto,2914.96,Four-Door Car,74.0,355.2
172,ZH98656,F,91276.0,Nevada,Personal Auto,8593.87,SUV,105.0,504.0
173,GZ31904,M,30816.0,Oregon,Personal Auto,6861.75,Two-Door Car,87.0,237.57
174,PN47493,F,41968.0,Oregon,Corporate Auto,2680.9,Four-Door Car,67.0,183.21
175,CX18273,M,35754.0,Arizona,Personal Auto,15797.99,Luxury Car,199.0,612.97
176,IG80173,F,36706.0,California,Personal Auto,2863.31,Four-Door Car,71.0,435.61
177,JG76775,M,48258.0,Washington,Personal Auto,30061.69,Luxury Car,249.0,1195.2
178,JR82641,M,52965.0,Arizona,Personal Auto,10682.76,SUV,134.0,83.82
179,DV27428,M,62634.0,Oregon,Personal Auto,13776.74,SUV,116.0,122.02
180,AN57220,F,96917.0,Oregon,Special Auto,17263.64,Four-Door Car,61.0,71.94
181,VD62056,F,76157.0,Arizona,Personal Auto,4669.23,Two-Door Car,116.0,556.8
182,AH92481,F,53219.0,California,Corporate Auto,4673.2,SUV,117.0,561.6
183,LX97765,F,81412.0,Arizona,Personal Auto,4347.59,Two-Door Car,109.0,344.29
184,JP82211,F,59744.0,California,Personal Auto,33873.18,SUV,105.0,476.49
185,SI88726,F,38898.0,California,Corporate Auto,9100.79,SUV,117.0,561.6
186,GL69461,F,99961.0,Oregon,Personal Auto,2628.47,Four-Door Car,66.0,316.8
187,RA63927,M,30886.0,Oregon,Personal Auto,7193.1,Two-Door Car,91.0,103.42
188,UE76013,F,35984.0,Washington,Personal Auto,5039.87,SUV,128.0,275.58
189,SN23932,M,60244.0,Arizona,Personal Auto,3238.0,Four-Door Car,83.0,326.28
190,LS51818,F,37553.0,California,Personal Auto,22217.97,Luxury Car,187.0,897.6
191,No50634,M,60475.0,Oregon,Personal Auto,4330.39,Four-Door Car,107.0,513.6
192,OW85480,M,25545.0,California,Personal Auto,5348.07,Four-Door Car,69.0,331.2
193,SW93780,M,24182.0,Arizona,Personal Auto,2398.74,Four-Door Car,66.0,316.8
194,ZW51071,F,80979.0,Oregon,Personal Auto,6622.05,Four-Door Car,84.0,25.96
195,PE66545,M,29250.0,Oregon,Personal Auto,2545.52,Two-Door Car,64.0,308.24
196,GG70928,F,33566.0,California,Personal Auto,5004.58,Four-Door Car,63.0,205.04
197,GI36262,F,65247.0,Washington,Corporate Auto,2899.7,Four-Door Car,72.0,381.24
198,MH85165,M,39650.0,California,Personal Auto,6767.81,Four-Door Car,86.0,922.34
199,CV90092,M,82680.0,Oregon,Corporate Auto,8184.69,Four-Door Car,68.0,326.4
200,EY74093,M,86834.0,Nevada,Corporate Auto,5004.14,Four-Door Car,64.0,0.1
201,YG11074,F,46143.0,Arizona,Personal Auto,4794.93,SUV,122.0,223.03
202,HW65139,M,21275.0,California,Personal Auto,26730.06,Luxury SUV,240.0,1152.0
203,BT49333,M,47746.0,Arizona,Personal Auto,4260.77,SUV,106.0,246.7
204,KN78424,M,51675.0,California,Corporate Auto,15477.28,Sports Car,196.0,940.8
205,TH68648,M,85522.0,California,Personal Auto,5126.84,Four-Door Car,64.0,165.0
206,PB21909,M,55632.0,Oregon,Personal Auto,9775.82,SUV,123.0,478.61
207,YK43172,M,69152.0,Arizona,Personal Auto,3319.62,Four-Door Car,89.0,221.36
208,YZ36062,M,13476.0,Oregon,Corporate Auto,6529.43,Four-Door Car,67.0,433.59
209,RC72799,F,33252.0,Oregon,Personal Auto,2839.81,Four-Door Car,71.0,407.67
210,EQ62488,F,59456.0,Oregon,Personal Auto,15031.56,Luxury Car,189.0,907.2
211,OA92714,F,88989.0,California,Personal Auto,5055.9,Four-Door Car,63.0,232.75
212,PQ46798,F,17034.0,California,Personal Auto,8300.71,Sports Car,113.0,542.4
213,IA56290,F,88435.0,Arizona,Personal Auto,2516.1,Four-Door Car,62.0,136.26
214,XU35186,F,71445.0,California,Personal Auto,2749.41,Four-Door Car,70.0,336.0
215,DR84620,M,72149.0,California,Personal Auto,8071.33,SUV,101.0,69.31
216,QG27547,F,23376.0,Oregon,Personal Auto,2867.31,Four-Door Car,78.0,374.4
217,NM95102,M,44788.0,Oregon,Personal Auto,7285.03,Four-Door Car,61.0,386.03
218,KZ26788,F,69379.0,Washington,Personal Auto,4118.59,Two-Door Car,103.0,494.4
219,GW25077,F,38521.0,Oregon,Personal Auto,5293.37,SUV,134.0,557.18
220,ZU91897,M,34482.0,California,Personal Auto,13265.96,Four-Door Car,67.0,83.83
221,TY84623,M,37256.0,California,Corporate Auto,9816.53,Four-Door Car,62.0,128.97
222,IP69763,F,77311.0,Washington,Personal Auto,21914.41,SUV,181.0,113.61
223,NF90665,M,39268.0,Oregon,Personal Auto,5143.88,Four-Door Car,66.0,188.87
224,KG53186,M,59644.0,Nevada,Corporate Auto,3136.7,Four-Door Car,79.0,379.2
225,ZX93551,F,23376.0,Arizona,Personal Auto,2867.31,Four-Door Car,78.0,374.4
226,TR18337,F,50854.0,Nevada,Personal Auto,11516.41,Four-Door Car,73.0,101.49
227,XV22744,F,35158.0,Oregon,Personal Auto,15025.19,Four-Door Car,76.0,165.96
228,KK27683,F,15413.0,Nevada,Personal Auto,4013.85,SUV,106.0,508.8
229,HX11651,M,17860.0,Oregon,Personal Auto,3288.83,Two-Door Car,99.0,656.12
230,FD73388,F,16181.0,Arizona,Personal Auto,13736.13,SUV,181.0,1261.32
231,KF70569,M,91182.0,Nevada,Personal Auto,3890.87,Four-Door Car,96.0,249.14
232,CC94413,F,41154.0,Oregon,Personal Auto,5701.28,Four-Door Car,72.0,345.6
233,QO59138,M,18746.0,Arizona,Personal Auto,2590.21,Four-Door Car,68.0,326.4
234,JW58698,F,70277.0,Oregon,Personal Auto,3223.33,Four-Door Car,80.0,84.82
235,GU82475,M,24919.0,California,Personal Auto,6532.01,Four-Door Car,84.0,420.42
236,KK15032,F,46370.0,Arizona,Personal Auto,2702.38,Two-Door Car,68.0,326.4
237,KA95160,F,89918.0,Arizona,Personal Auto,23207.25,SUV,115.0,423.12
238,KD52867,F,37138.0,Oregon,Personal Auto,3347.03,Two-Door Car,85.0,612.0
239,WY53775,M,19683.0,Arizona,Personal Auto,8382.63,Sports Car,117.0,561.6
240,HS94778,F,32214.0,Oregon,Personal Auto,11793.13,SUV,100.0,296.56
241,EJ96266,F,26472.0,California,Personal Auto,2965.72,Four-Door Car,74.0,355.2
242,RK53289,F,39841.0,California,Personal Auto,5646.32,Two-Door Car,72.0,440.13
243,TX39594,F,51085.0,Arizona,Personal Auto,2452.49,Two-Door Car,62.0,406.9
244,JM93892,M,61006.0,Arizona,Corporate Auto,5953.21,Four-Door Car,74.0,73.92
245,PY51000,M,34148.0,California,Personal Auto,12883.81,Four-Door Car,109.0,451.57
246,HX74855,M,95697.0,Washington,Personal Auto,2471.53,Two-Door Car,61.0,114.27
247,VE64781,F,75685.0,Arizona,Personal Auto,2927.07,Four-Door Car,73.0,369.92
248,KY57676,M,20870.0,California,Personal Auto,8400.79,Four-Door Car,72.0,345.6
249,JL42497,F,66900.0,Nevada,Personal Auto,2729.13,Four-Door Car,68.0,326.4
250,WO39817,M,37043.0,Oregon,Personal Auto,2493.59,Two-Door Car,68.0,30.98
251,HW20940,M,42837.0,California,Personal Auto,4170.57,SUV,106.0,290.58
252,KE60943,M,33305.0,California,Special Auto,4908.21,Four-Door Car,62.0,353.78
253,KI17749,F,24823.0,Oregon,Personal Auto,2682.42,Four-Door Car,69.0,229.28
254,DS50601,M,98192.0,Nevada,Personal Auto,10003.25,Four-Door Car,84.0,403.2
255,PU78245,F,88249.0,Arizona,Personal Auto,13094.61,SUV,108.0,244.8
256,MP96373,M,54585.0,Washington,Personal Auto,5719.79,Two-Door Car,71.0,340.8
257,QK62680,F,39770.0,Oregon,Personal Auto,9393.97,Two-Door Car,117.0,561.6
258,HN63935,M,85367.0,Arizona,Personal Auto,3433.82,Four-Door Car,85.0,67.98
259,ON30714,M,74809.0,California,Personal Auto,4932.88,Two-Door Car,61.0,283.79
260,FM61329,M,50144.0,California,Personal Auto,13610.11,SUV,114.0,786.93
261,NK91656,M,20075.0,Oregon,Personal Auto,2913.32,Two-Door Car,79.0,483.73
262,MS94619,F,76448.0,California,Personal Auto,5111.3,Four-Door Car,63.0,302.4
263,MO38507,M,59556.0,California,Personal Auto,4540.38,Sports Car,113.0,681.51
264,PQ36549,M,14174.0,Arizona,Personal Auto,5598.27,Four-Door Car,72.0,345.6
265,WG91434,M,35230.0,Oregon,Personal Auto,9638.07,Four-Door Car,61.0,16.21
266,FX12602,M,51352.0,Oregon,Personal Auto,19927.64,Four-Door Car,66.0,95.66
267,BL55947,M,76675.0,California,Personal Auto,5815.26,Four-Door Car,72.0,141.72
268,QY81331,F,94242.0,Arizona,Personal Auto,8595.98,Four-Door Car,71.0,41.23
269,CP30637,F,71153.0,California,Corporate Auto,4916.3,Sports Car,122.0,209.02
270,RW50070,M,63326.0,Arizona,Personal Auto,8935.27,Luxury Car,225.0,1080.0
271,LO42325,F,29629.0,California,Special Auto,5433.21,Four-Door Car,71.0,228.44
272,JP35025,F,23726.0,California,Corporate Auto,5714.17,Four-Door Car,74.0,355.2
273,WZ13788,F,48999.0,Nevada,Corporate Auto,10097.69,Four-Door Car,86.0,412.8
274,IS21172,F,13037.0,Oregon,Personal Auto,4726.87,SUV,124.0,839.35
275,CL10476,M,24245.0,Arizona,Corporate Auto,7079.79,Two-Door Car,63.0,302.4
276,WO83615,M,44047.0,Nevada,Corporate Auto,5395.43,Sports Car,137.0,969.23
277,ZJ77881,F,91942.0,Oregon,Personal Auto,9453.0,Four-Door Car,117.0,561.6
278,GT37101,F,37640.0,Oregon,Personal Auto,5284.31,Two-Door Car,67.0,174.05
279,WE13528,F,77058.0,California,Personal Auto,20215.39,Four-Door Car,63.0,119.33
280,WM19967,F,63755.0,California,Personal Auto,19884.92,Two-Door Car,62.0,291.86
281,EW13798,F,37384.0,California,Personal Auto,4014.45,Four-Door Car,99.0,475.2
282,RO18530,M,42557.0,Washington,Personal Auto,2540.69,Four-Door Car,65.0,57.56
283,AY18433,F,45473.0,Washington,Special Auto,27382.82,Two-Door Car,76.0,188.94
284,CS29328,M,10743.0,Nevada,Personal Auto,4875.32,Two-Door Car,70.0,336.0
285,GR49281,M,75644.0,California,Personal Auto,4974.8,Two-Door Car,65.0,467.8
286,ZW19492,M,63455.0,Oregon,Personal Auto,2404.92,Two-Door Car,61.0,287.65
287,UW88168,M,73782.0,Oregon,Special Auto,3032.82,Four-Door Car,76.0,111.62
288,XX53620,F,80590.0,Oregon,Corporate Auto,2891.27,Four-Door Car,71.0,134.16
289,IM90123,F,59797.0,California,Personal Auto,15261.41,SUV,127.0,609.6
290,BE33446,F,48567.0,Arizona,Personal Auto,5015.01,SUV,130.0,624.0
291,YW11227,M,62470.0,California,Personal Auto,5325.39,Two-Door Car,66.0,243.77
292,UF32671,F,57338.0,Washington,Personal Auto,5291.4,Four-Door Car,66.0,316.8
293,ZW10467,F,63288.0,Arizona,Personal Auto,16107.19,Luxury Car,199.0,558.43
294,KK95092,M,55281.0,Arizona,Personal Auto,7605.64,Luxury SUV,192.0,921.6
295,HZ43637,F,22985.0,Arizona,Special Auto,3065.37,Four-Door Car,77.0,458.06
296,FY82691,F,39608.0,California,Corporate Auto,6245.58,Four-Door Car,78.0,22.96
297,SO40738,F,99189.0,California,Corporate Auto,9406.38,SUV,117.0,75.3
298,AU75025,M,58089.0,Oregon,Personal Auto,4686.47,SUV,118.0,566.4
299,XF15789,F,81350.0,Arizona,Personal Auto,8869.62,SUV,110.0,228.19
300,FX48006,M,43704.0,Oregon,Personal Auto,24178.68,Luxury SUV,201.0,1064.48
301,HS69837,M,75497.0,Oregon,Personal Auto,7951.78,SUV,100.0,71.77
302,GL49408,M,40372.0,California,Corporate Auto,6762.08,Four-Door Car,85.0,76.98
303,PK51938,F,17489.0,Oregon,Corporate Auto,3044.79,Four-Door Car,85.0,587.69
304,JE62426,F,86277.0,Arizona,Personal Auto,5908.16,Four-Door Car,74.0,212.04
